text,label
Tôi toi hanh phucrất tốt.,positive
Thời tiết rất thích!,positive
Mình dịch vụ tệ.,negative
Đơn hàng toi phan no!!,negative
Bản thân tôi rất kém!,negative
Giao dịch đẹp và bền!!,positive
Trải nghiệm này thật là một ngày ý nghĩa,positive
Tôi giao hàng chậm.,negative
Mình đúng như mong đợi!,neutral
Cuộc gặp gỡ tôi thấy bực mình.,negative
Thời tiết phải trả lại.,negative
Giao dịch đúng như mong đợi!!,neutral
Cuộc gặp gỡ dịch vụ tệ,negative
Chuyến đi thật là một ngày ý nghĩa.,positive
Tôi khá ổn!!,neutral
Đơn hàng tôi không cảm thấy gì nhiều!,neutral
Chuyến đi cũng được!,neutral
Mình xuất sắc!,positive
Thời tiết cực kỳ ổn,positive
Tụi mình không đúng mô tả.,negative
Tụi mình sẽ ủng hộ lần sau.,positive
Món hàng không tệ!,neutral
Buổi sáng nay vừa đủ dùng!,neutral
Hàng hóa đóng gói cẩu thả!,negative
Buổi tối hôm qua bình thường!,neutral
Buổi sáng nay đáng đồng tiền!,positive
Buổi tối hôm qua dịch vụ tệ,negative
Công việc khá ổn,neutral
Buổi tối hôm qua không đúng mô tả.,negative
Ngày hôm nay tôi thấy bình thường!,neutral
Chuyến đi trung bình.,neutral
Món hàng toi khong cam thay gi nhieu!,neutral
Giao dịch tôi không cảm thấy gì nhiều.,neutral
Món hàng toi that vong,negative
Món hàng tạm hài lòng!!,neutral
Món hàng dịch vụ tận tình!!,positive
Chuyến đi tiền mất tật mang.,negative
Cuộc gặp gỡ tôi yêu công việc này.,positive
Sản phẩm tôi cực kỳ phấn khích!!,positive
Mình toi met moi,negative
Ngày hôm nay hỏng!,negative
Bản thân tôi hôm nay thật tuyệt!!,positive
Cuộc gặp gỡ tôi đang ở nhà.,neutral
Sản phẩm mình đang rất hứng khởi,positive
Ngày hôm nay hài lòng!!,positive
Tụi mình không tệ.,neutral
Món hàng ngày hôm nay cũng như mọi ngày!!,neutral
Công việc không hài lòng,negative
Công việc cuộc sống thật đẹp!,positive
Dịch vụ toi buon!!,negative
Thời tiết toi vui!!,positive
Trải nghiệm này không có gì đặc biệt!!,neutral
Giao dịch that la mot ngay kinh khung.,negative
Tôi mình đang rất hứng khởi,positive
Cuộc gặp gỡ mình đang rất mệt mỏi!,negative
Thời tiết cuộc sống thật khó khăn!,negative
Đơn hàng ngon lành,positive
Trải nghiệm này tôi thấy bực mình!,negative
Hàng hóa đóng gói cẩu thả!!,negative
Cuộc sống cuộc sống thật mệt mỏi!,negative
Hàng hóa toi buon,negative
Ngày hôm nay hoàn toàn thất vọng!,negative
Ngày hôm nay toi met moi,negative
Mình ngon lành!,positive
Chuyến đi tôi có một chiếc xe máy!!,neutral
Cuộc gặp gỡ đáng đồng tiền!!,positive
Tôi sẽ ủng hộ lần sau.,positive
Chuyến đi tôi đang nghe nhạc!,neutral
Công việc rất bực mình!!,negative
Tôi không đúng mô tả.,negative
Dịch vụ tôi đang nghe nhạc!,neutral
Thời tiết mình cảm thấy hạnh phúc!,positive
Cuộc gặp gỡ tôi chỉ đang quan sát!,neutral
Hàng hóa hài lòng.,positive
Hàng hóa thật là một ngày ý nghĩa,positive
Giao dịch dịch vụ tệ!,negative
Mình hoàn toàn thất vọng!!,negative
Đơn hàng tôi không muốn nói chuyện nữa!,negative
Giao dịch toi that vong!,negative
Chuyến đi không có gì đặc biệt.,neutral
Thời tiết mình cảm thấy thất vọng!!,negative
Đơn hàng tôi thấy rất tốt,positive
Công việc mình đang rất hứng khởi,positive
Bản thân tôi cực kỳ ổn!!,positive
Tụi mình that la mot ngay kinh khung,negative
Sản phẩm toi khong cam thay gi nhieu,neutral
Mình toi binh thuong,neutral
Công việc tiền mất tật mang!,negative
Bản thân tôi không hài lòng!,negative
Ngày hôm nay mình đang rất hứng khởi!,positive
Cuộc sống mình thấy vô vọng.,negative
Dịch vụ tôi chán nản!,negative
Giao dịch mình đang rất hứng khởi,positive
Chuyến đi toi ghet,negative
Buổi tối hôm qua tạm hài lòng!,neutral
Trải nghiệm này đóng gói cẩu thả.,negative
Buổi tối hôm qua chấp nhận được!,neutral
Món hàng phải trả lại,negative
Chuyến đi đẹp và bền,positive
Cả nhóm toi chi dang quan sat,neutral
Buổi sáng nay tôi không muốn nói chuyện nữa!,negative
Công việc đúng như mong đợi!,neutral
Tôi khá ổn.,neutral
Cuộc sống cuộc sống thật mệt mỏi,negative
Tụi mình tạm hài lòng,neutral
Dịch vụ mọi thứ đều ổn định và vui vẻ!!,positive
Tôi tôi chán nản!,negative
Cả nhóm tạm ổn!!,neutral
Công việc mình khuyên nên thử!!,positive
Sản phẩm tôi chán nản!,negative
Đơn hàng tuyệt vời.,positive
Dịch vụ ngày hôm nay cũng như mọi ngày!!,neutral
Thời tiết toi hanh phucrất tốt!!,positive
Buổi tối hôm qua tạm được.,neutral
Buổi tối hôm qua tạm ổn!,neutral
Tôi tôi đang ở nhà,neutral
Ngày hôm nay ngon lành!,positive
Tôi hỏng,negative
Trải nghiệm này khá ổn,neutral
Buổi sáng nay tôi có một chiếc xe máy!!,neutral
Buổi tối hôm qua cuộc sống thật mệt mỏi!!,negative
Cuộc gặp gỡ trung bình.,neutral
Chuyến đi không có gì đặc biệt.,neutral
Bản thân tôi rất kém,negative
Món hàng rất kém,negative
Chuyến đi ổn!!,neutral
Bản thân tôi không vui cũng không buồn,neutral
Cuộc sống tôi thấy bình thường,neutral
Tụi mình tôi ghét công việc này!,negative
Tụi mình giao hàng chậm!,negative
Buổi sáng nay tôi chỉ đang quan sát.,neutral
Tôi tôi yêu công việc này.,positive
Cuộc sống tôi có một chiếc xe máy,neutral
Cuộc gặp gỡ mình đang rất mệt mỏi.,negative
Thời tiết mình cảm thấy hạnh phúc!!,positive
Thời tiết mình thấy vô vọng!,negative
Buổi tối hôm qua tôi đang ở nhà!!,neutral
Bản thân tôi mình cảm thấy thất vọng.,negative
Bản thân tôi tôi rất vui,positive
Mình tôi cực kỳ phấn khích!!,positive
Cuộc sống tôi có một chiếc xe máy!,neutral
Giao dịch ngày hôm nay cũng như mọi ngày!,neutral
Bản thân tôi không đáng mua,negative
Dịch vụ hoàn toàn thất vọng,negative
Cuộc gặp gỡ thời tiết hôm nay bình thường.,neutral
Chuyến đi tôi thấy rất tốt.,positive
Cuộc gặp gỡ vượt mong đợi!,positive
Thời tiết cũng được!,neutral
Dịch vụ khá ổn.,neutral
Cuộc gặp gỡ toi hanh phucrất tốt!,positive
Buổi tối hôm qua đúng như mong đợi.,neutral
Buổi sáng nay tôi giận dữ.,negative
Thời tiết khá ổn!,neutral
Cả nhóm tiền mất tật mang!,negative
Cả nhóm đẹp và bền.,positive
Món hàng không có gì đặc biệt.,neutral
Tôi ổn,neutral
Dịch vụ chưa ấn tượng!!,neutral
Công việc sản phẩm lỗi,negative
Dịch vụ đáng giá.,positive
Mình toi met moi,negative
Mình rất kém!,negative
Buổi sáng nay cũng được!!,neutral
Mình tiền mất tật mang.,negative
Trải nghiệm này toi ghet,negative
Cả nhóm tôi đang nghe nhạc.,neutral
Món hàng tôi ghét công việc này!!,negative
Trải nghiệm này mình khuyên nên thử.,positive
Buổi sáng nay đây là một cái bàn!,neutral
Đơn hàng không đúng mô tả,negative
Thời tiết phải trả lại!!,negative
Thời tiết toi vui,positive
Chuyến đi sản phẩm lỗi,negative
Bản thân tôi tôi có một chiếc xe máy!,neutral
Sản phẩm hôm nay thật tuyệt,positive
Bản thân tôi tôi ghét công việc này,negative
Tôi rất bực mình!!,negative
Cả nhóm cuộc sống thật mệt mỏi.,negative
Hàng hóa toi met moi!!,negative
Hàng hóa toi vui.,positive
Hàng hóa tôi ghét công việc này.,negative
Bản thân tôi hôm nay thật tuyệt,positive
Buổi tối hôm qua mình cảm thấy hạnh phúc!,positive
Bản thân tôi rất kém,negative
Cả nhóm hài lòng,positive
Sản phẩm mình khuyên nên thử,positive
Đơn hàng toi met moi,negative
Món hàng tạm ổn!,neutral
Chuyến đi khá ổn,neutral
Giao dịch giao hàng chậm!,negative
Trải nghiệm này that la mot ngay kinh khung!,negative
Thời tiết tôi rất vui.,positive
Ngày hôm nay dịch vụ tận tình!,positive
Dịch vụ tôi đang ở nhà!!,neutral
Cuộc gặp gỡ mình cảm thấy thất vọng.,negative
Hàng hóa toi binh thuong!,neutral
Thời tiết tạm được,neutral
Công việc mình cảm thấy hạnh phúc.,positive
Cuộc sống mọi thứ đều đi sai hướng!,negative
Buổi tối hôm qua tôi không cảm thấy gì nhiều!,neutral
Tụi mình mình đang rất mệt mỏi,negative
Đơn hàng bình thường.,neutral
Cuộc gặp gỡ tôi không muốn nói chuyện nữa.,negative
Cuộc gặp gỡ chấp nhận được!!,neutral
Dịch vụ cực kỳ ổn!,positive
Món hàng rất đáng mua!!,positive
Buổi tối hôm qua toi chi dang quan sat.,neutral
Trải nghiệm này giao hàng chậm.,negative
Thời tiết tôi yêu công việc này,positive
Cả nhóm tôi rất buồn,negative
Cuộc sống thời tiết hôm nay bình thường.,neutral
Bản thân tôi toi vui!!,positive
Dịch vụ vượt mong đợi,positive
Thời tiết đúng như mong đợi!,neutral
Tụi mình toi thich!,positive
Cuộc gặp gỡ hỏng!,negative
Ngày hôm nay bình thường.,neutral
Chuyến đi toi phan no!,negative
Giao dịch bình thường!!,neutral
Buổi tối hôm qua tôi giận dữ!,negative
Buổi tối hôm qua sẽ ủng hộ lần sau.,positive
Buổi tối hôm qua máy tính của tôi màu đen,neutral
Tụi mình không tệ.,neutral
Hàng hóa toi khong cam thay gi nhieu.,neutral
Buổi sáng nay thật là một ngày ý nghĩa,positive
Tụi mình toi buon.,negative
Mình toi hanh phucrất tốt.,positive
Chuyến đi tôi rất buồn!!,negative
Mình toi met moi!!,negative
Trải nghiệm này toi hanh phucrất tốt!,positive
Thời tiết tôi không cảm thấy gì nhiều,neutral
Buổi sáng nay tôi đang ở nhà!!,neutral
Món hàng tôi cực kỳ phấn khích.,positive
Tụi mình chưa ấn tượng,neutral
Sản phẩm tôi chỉ đang quan sát!,neutral
Dịch vụ tôi thấy bực mình!,negative
Cuộc gặp gỡ ngày hôm nay cũng như mọi ngày!,neutral
Giao dịch mình đang rất mệt mỏi!,negative
Món hàng that la mot ngay kinh khung!,negative
Thời tiết tôi rất vui!,positive
Dịch vụ mình cảm thấy thất vọng!,negative
Tôi tôi yêu công việc này,positive
Cuộc gặp gỡ toi ghet!!,negative
Công việc đáng đồng tiền,positive
Bản thân tôi mọi thứ đều ổn định và vui vẻ!!,positive
Trải nghiệm này cuộc sống thật đẹp!!,positive
Cuộc sống sản phẩm lỗi.,negative
Chuyến đi bình thường,neutral
Giao dịch tôi chán nản,negative
Ngày hôm nay mình đang rất mệt mỏi!,negative
Thời tiết trung bình!,neutral
Tôi đáng giá!,positive
Thời tiết bình thường.,neutral
Hàng hóa tôi giận dữ.,negative
Tụi mình toi met moi.,negative
Ngày hôm nay tôi thấy rất tốt!!,positive
Cuộc sống toi buon,negative
Cả nhóm rất tệ!,negative
Tụi mình that la mot ngay kinh khung.,negative
Dịch vụ thời tiết hôm nay bình thường!!,neutral
Chuyến đi không vui cũng không buồn.,neutral
Buổi sáng nay tạm được,neutral
Tụi mình toi met moi!,negative
Hàng hóa rất thích.,positive
Bản thân tôi dịch vụ tệ!,negative
Giao dịch tạm được!,neutral
Tôi tôi yêu công việc này!,positive
